word,translation,phonetic,sentence,type_word
excuse,v.原谅；n.借口，理由,"{""uk"": ""ɪkˈskjuːz"", ""us"": ""ɪkˈskjuːs""}","[{""cn_sentence"":""打扰一下，请问去车站怎么走？"",""origin_sentence"":""Excuse me, could you tell me the way to the station?""},{""cn_sentence"":""请原谅我的错误。"",""origin_sentence"":""Please excuse my mistake.""},{""cn_sentence"":""他迟到的借口是车坏了。"",""origin_sentence"":""His excuse for being late was that his car broke down.""}]"
me,pron.我（宾格）,"{""uk"": ""miː"", ""us"": ""miː""}","[{""cn_sentence"":""你能把那本书给我吗？"",""origin_sentence"":""Could you give me the book?""},{""cn_sentence"":""她告诉了我一个秘密。"",""origin_sentence"":""She told me a secret.""},{""cn_sentence"":""这完全是关于我的事，不是吗？"",""origin_sentence"":""It's all about me, isn't it?""}]"
yes,adv.是，是的,"{""uk"": ""jes"", ""us"": ""jes""}","[{""cn_sentence"":""是的，我同意你的看法。"",""origin_sentence"":""Yes, I agree with you.""},{""cn_sentence"":""“你准备好了吗？”“是的，我好了。”"",""origin_sentence"":""'Are you ready?' 'Yes, I am.'""},{""cn_sentence"":""是的，就是这里。"",""origin_sentence"":""Yes, this is the right place.""}]"
is,v.是（be的第三人称单数形式）,"{""uk"": ""ɪz"", ""us"": ""ɪz""}","[{""cn_sentence"":""他是一名医生。"",""origin_sentence"":""He is a doctor.""},{""cn_sentence"":""今天的天空是蓝色的。"",""origin_sentence"":""The sky is blue today.""},{""cn_sentence"":""屋顶上有一只猫。"",""origin_sentence"":""There is a cat on the roof.""}]"
this,pron.这，这个；adv.这样地,"{""uk"": ""ðɪs"", ""us"": ""ðɪs""}","[{""cn_sentence"":""这是我的朋友，汤姆。"",""origin_sentence"":""This is my friend, Tom.""},{""cn_sentence"":""我喜欢这辆车。"",""origin_sentence"":""I like this car.""},{""cn_sentence"":""这就是我想要的。"",""origin_sentence"":""This is what I want.""}]"
your,pron.你的，你们的,"{""uk"": ""jɔː(r)"", ""us"": ""jʊr""}","[{""cn_sentence"":""这是你的钥匙吗？"",""origin_sentence"":""Is this your key?""},{""cn_sentence"":""我很喜欢你的演讲。"",""origin_sentence"":""I enjoyed your presentation.""},{""cn_sentence"":""你应该慢慢来。"",""origin_sentence"":""You should take your time.""}]"
handbag,n.手提包（尤指女士用的）,"{""uk"": ""ˈhændbæɡ"", ""us"": ""ˈhændbæɡ""}","[{""cn_sentence"":""她把钱包放进了手提包里。"",""origin_sentence"":""She put her wallet in her handbag.""},{""cn_sentence"":""那是一个很漂亮的皮手提包。"",""origin_sentence"":""That is a beautiful leather handbag.""},{""cn_sentence"":""我把手提包忘在出租车上了。"",""origin_sentence"":""I left my handbag in the taxi.""}]"
pardon,n.原谅，宽恕；interj.请再说一遍；vt.原谅,"{""uk"": ""ˈpɑːdn"", ""us"": ""ˈpɑːrdn""}","[{""cn_sentence"":""请原谅我的打扰。"",""origin_sentence"":""Pardon me for interrupting.""},{""cn_sentence"":""“请再说一遍？”“我说，你能帮我一下吗？”"",""origin_sentence"":""'Pardon?' 'I said, could you help me?'""},{""cn_sentence"":""我们必须为我们的错误请求他的原谅。"",""origin_sentence"":""We must beg his pardon for our mistake.""}]"
it,pron.它,"{""uk"": ""ɪt"", ""us"": ""ɪt""}","[{""cn_sentence"":""今天是个晴天。"",""origin_sentence"":""It is a sunny day.""},{""cn_sentence"":""我发现它很难理解。"",""origin_sentence"":""I found it difficult to understand.""},{""cn_sentence"":""天晚了。"",""origin_sentence"":""It's getting late.""}]"
thank you,int.谢谢你,"{""uk"": ""θæŋk juː"", ""us"": ""θæŋk juː""}","[{""cn_sentence"":""谢谢你的帮助。"",""origin_sentence"":""Thank you for your help.""},{""cn_sentence"":""“这是你的咖啡。”“哦，谢谢你！”"",""origin_sentence"":""'Here is your coffee.' 'Oh, thank you!'""},{""cn_sentence"":""我只想说声谢谢。"",""origin_sentence"":""I just want to say thank you.""}]"
